ind_t,date,adr,p,n_killed,n_injured,state,LON,LAT,case,summary,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,mental_health_sources,sources_additional_age,type,log_n_killed,log_n_injured,rand_ind_t,G0_indegree,G0_outdegree,G0_null_indegree,G0_null_outdegree,G1_indegree,G1_outdegree,G1_null_indegree,G1_null_outdegree
45,2014-05-03,2201 Moore Rd Jonesboro Arkansas,4.1547323880561855,4,4,Arkansas,-90.6155684,35.81834310000001,,,,,,,,,,,,,,,1.6094379124341005,1.6094379124341005,793,1,0,1,0,5,4,6,3
46,2014-05-04,500 West Erie Street Chicago Illinois,2.3903891703159093,1,3,Illinois,-87.64144089999998,41.89389439999999,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,259,1,0,1,0,6,0,9,0
46,2014-05-04,12100 W 44th Wheat Ridge Colorado,1.515716566510398,0,4,Colorado,-105.1342557,39.77748629999999,,,,,,,,,,,,,,,0.0,1.6094379124341005,259,1,0,1,0,7,0,5,0
47,2014-05-10,Shamrock Dr Decatur Georgia,3.0148939630283804,2,3,Georgia,-84.2573284,33.730861700000005,,,,,,,,,,,,,,,1.0986122886681098,1.3862943611198906,1134,1,1,1,1,2,9,2,7
47,2014-05-10,1100 To Lani Farm Road Stone Mountain Georgia,2.3903891703159093,1,3,Georgia,-84.2056446,33.7621635,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,1134,1,1,1,1,3,7,2,5
47,2014-05-10,3031 Guadalajara Way Sacramento California,2.7117698594097046,1,6,California,-121.5248455,38.6240965,,,,,,,,,,,,,,,0.6931471805599453,1.9459101490553128,1134,1,0,1,0,13,0,7,0
48,2014-05-11,2517 Shasta Memphis Tennessee,1.7927899625209969,0,7,Tennessee,-89.97327949999998,35.1687664,,,,,,,,,,,,,,,0.0,2.079441541679836,107,1,0,1,0,5,2,4,3
49,2014-05-12,3400 West 24th Street Chicago Illinois,1.515716566510398,0,4,Illinois,-87.710006,41.84806920000001,,,,,,,,,,,,,,,0.0,1.6094379124341005,506,1,0,1,0,5,0,8,0
50,2014-05-13,Panther Trail and Childress Drive Atlanta Georgia,1.6206565966927624,0,5,Georgia,-84.486189,33.698155,,,,,,,,,,,,,,,0.0,1.791759469228055,1198,1,0,1,0,5,0,9,0
51,2014-05-17,84000 block of Pedro Drive Coachella California,2.3903891703159093,1,3,California,-116.1887573,33.6851422,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,593,1,0,1,0,8,0,8,0
51,2014-05-17,2200 block of Adams Place NE Washington District of Columbia,1.6206565966927624,0,5,District of Columbia,-76.97487989999998,38.9192532,,,,,,,,,,,,,,,0.0,1.791759469228055,593,0,1,0,1,5,3,3,3
52,2014-05-18,1643 Cleveland Rd Sandusky Ohio,1.7927899625209969,0,7,Ohio,-82.68584940000002,41.4429533,,,,,,,,,,,,,,,0.0,2.079441541679836,693,0,2,0,2,2,7,2,9
53,2014-05-21,4500 block of Village Fair Drive Dallas Texas,2.3903891703159093,1,3,Texas,-96.826773,32.694118,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,1081,0,1,0,1,8,10,9,6
54,2014-05-23,6200 block of Eads Street New Orleans Louisiana,2.792789962520997,1,7,Louisiana,-90.0507377,30.0227315,,,,,,,,,,,,,,,0.6931471805599453,2.079441541679836,703,0,1,0,1,2,6,2,9
54,2014-05-23,9541 Flower Street Bellflower California,2.855649206057388,2,2,California,-118.1303257,33.8821979,,,,,,,,,,,,,,,1.0986122886681098,1.0986122886681098,703,0,1,0,1,3,3,3,4
54,2014-05-23,840 Embarcadero Del Norte Goleta (Isla Vista) California,4.505081804619404,4,8,California,-119.8550772,34.414239200000004,,,,,,,,,,,,,,,1.6094379124341005,2.19722457733622,703,0,1,0,1,3,3,3,4
55,2014-05-24,Strathmoor St Detroit Michigan,1.515716566510398,0,4,Michigan,-83.187569,42.397021,,,,,,,,,,,,,,,0.0,1.6094379124341005,1110,0,1,0,1,1,7,0,7
55,2014-05-24,Ocean Boulevard near First Avenue North Myrtle Beach South Carolina,3.1576692799745936,3,1,South Carolina,-78.67765870000002,33.8173013,,,,,,,,,,,,,,,1.3862943611198906,0.6931471805599453,1110,1,1,1,1,8,6,4,2
56,2014-05-25,2100 block of Joffre Avenue Toledo Ohio,2.3903891703159093,1,3,Ohio,-83.58644269999998,41.6616563,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,743,1,0,1,0,6,0,6,0
57,2014-05-31,800 block of West Victoria St San Bernardino California,2.3903891703159093,1,3,California,-117.3008869,34.1111328,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,990,0,2,0,2,1,8,0,10
58,2014-06-01,West Ferdinand Street and North Lavergne Avenue  Chicago Illinois,2.6206565966927617,1,5,Illinois,-87.75049349999998,41.889518,,,,,,,,,,,,,,,0.6931471805599453,1.791759469228055,822,0,0,0,0,5,6,3,2
58,2014-06-01,6500 46th Street Sacramento California,1.515716566510398,0,4,California,-121.45240459999998,38.5084009,,,,,,,,,,,,,,,0.0,1.6094379124341005,822,1,0,1,0,6,0,3,0
59,2014-06-02,2660 E. 79th St Chicago Illinois,1.7927899625209969,0,7,Illinois,-87.5591115,41.7521292,,,,,,,,,,,,,,,0.0,2.079441541679836,126,1,1,1,1,5,4,9,4
60,2014-06-03,Auburn Avenue Atlanta Georgia,2.515716566510398,1,4,Georgia,-84.37746120000001,33.7555132,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,207,1,0,1,0,8,0,7,0
61,2014-06-04,4900 West West End Avenue Chicago Illinois,2.3903891703159093,1,3,Illinois,-87.74818619999998,41.8832704,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,614,1,4,1,4,1,13,1,11
62,2014-06-07,Tish Lane Moncks Corner South Carolina,2.6206565966927617,1,5,South Carolina,-80.13136999999998,33.1714215,,,,,,,,,,,,,,,0.6931471805599453,1.791759469228055,889,1,0,1,0,8,0,5,0
62,2014-06-07,10811 W. Ten Mile Rd. Oak Park Michigan,2.3903891703159093,1,3,Michigan,-83.1719483,42.4742091,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,889,0,1,0,1,3,6,1,9
63,2014-06-08,611 Hardin Street Opp Alabama,2.515716566510398,1,4,Alabama,-86.253191,31.27251889999999,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,517,5,0,5,0,6,4,9,2
64,2014-06-09,Rosa Parks Boulevard and Godwin Avenue Paterson New Jersey,1.711769859409705,0,6,New Jersey,-74.15908189999998,40.9206769,,,,,,,,,,,,,,,0.0,1.9459101490553128,491,0,1,0,1,0,9,1,7
65,2014-06-13,8600 block of South Figueroa Street Los Angeles California,3.1576692799745936,3,1,California,-118.28228500000002,33.9596113,,,,,,,,,,,,,,,1.3862943611198906,0.6931471805599453,895,1,0,1,0,6,0,12,0
66,2014-06-15,200 Berry Street Park Forest Illinois,1.515716566510398,0,4,Illinois,-87.67870440000002,41.5015419,,,,,,,,,,,,,,,0.0,1.6094379124341005,1051,1,1,1,1,14,3,5,4
66,2014-06-15,5100 Clinton Drive Kokomo Indiana,1.515716566510398,0,4,Indiana,-86.1251637,40.4368037,,,,,,,,,,,,,,,0.0,1.6094379124341005,1051,1,1,1,1,4,10,4,12
67,2014-06-20,6600 block of Greig Street Seat Pleasant Maryland,1.515716566510398,0,4,Maryland,-76.9058536,38.9001431,,,,,,,,,,,,,,,0.0,1.6094379124341005,1010,1,2,1,2,5,3,11,8
68,2014-06-21,2119 East Alcy Road Memphis Tennessee,1.6206565966927624,0,5,Tennessee,-89.99202629999998,35.0779873,,,,,,,,,,,,,,,0.0,1.791759469228055,520,4,0,4,0,8,0,11,0
68,2014-06-21,Florida Avenue and U Street NW Washington District of Columbia,1.515716566510398,0,4,District of Columbia,-77.04119509999998,38.9170225,,,,,,,,,,,,,,,0.0,1.6094379124341005,520,2,0,2,0,0,11,3,6
69,2014-06-22,Windsor Avenue Windsor California,2.3903891703159093,1,3,California,-122.8189032,38.5478719,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,301,3,0,3,0,6,0,7,0
70,2014-06-24,Northwest 12th Avenue and 65th Street Miami Florida,3.4172947552334683,2,7,Florida,-80.2169445,25.8343478,,,,,,,,,,,,,,,1.0986122886681098,2.079441541679836,119,0,1,0,1,6,3,6,4
71,2014-06-25,Midland Street Lowell Massachusetts,1.6206565966927624,0,5,Massachusetts,-71.32692829999998,42.6235027,,,,,,,,,,,,,,,0.0,1.791759469228055,669,1,0,1,0,10,0,8,0
72,2014-06-26,Grand St Detroit Michigan,2.855649206057388,2,2,Michigan,-83.1258155,42.3936105,,,,,,,,,,,,,,,1.0986122886681098,1.0986122886681098,337,2,0,2,0,8,0,10,0
72,2014-06-26,24th and Locust Milwaukee Wisconsin,1.6206565966927624,0,5,Wisconsin,-87.9423791,43.0714769,,,,,,,,,,,,,,,0.0,1.791759469228055,337,0,2,0,2,3,13,2,7
73,2014-06-27,1600 block of Cathy Street San Diego California,2.3903891703159093,1,3,California,-117.0946296,32.5872545,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,111,0,1,0,1,3,6,4,10
74,2014-06-28,5500 Cedar Point Way Antioch California,1.7927899625209969,0,7,California,-121.7575243,37.9570006,,,,,,,,,,,,,,,0.0,2.079441541679836,563,1,0,1,0,12,0,10,0
74,2014-06-28,Fifth Avenue and West 139th Street Manhattan New York,1.515716566510398,0,4,New York,-73.93575799999998,40.8153398,,,,,,,,,,,,,,,0.0,1.6094379124341005,563,0,1,0,1,9,1,4,2
75,2014-06-29,1100 block of North Vermont Avenue Los Angeles California,2.6206565966927617,1,5,California,-118.2913512,34.0912202,,,,,,,,,,,,,,,0.6931471805599453,1.791759469228055,247,1,1,1,1,1,9,3,5
75,2014-06-29,2800 block of Dayton Saint Louis Missouri,1.515716566510398,0,4,Missouri,-90.216016,38.641863,,,,,,,,,,,,,,,0.0,1.6094379124341005,247,1,2,1,2,1,14,5,10
75,2014-06-29,700 block of Bourbon St New Orleans Louisiana,2.9331820449317627,1,9,Louisiana,-90.06545679999998,29.95860729999999,,,,,,,,,,,,,,,0.6931471805599453,2.302585092994046,247,1,0,1,0,11,0,7,0
76,2014-06-30,Scottsdale Circle Lexington Kentucky,2.3903891703159093,1,3,Kentucky,-84.47805290000002,38.075951,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,103,1,1,1,1,2,7,1,8
77,2014-07-02,1400 block of West Congress Street Chester Pennsylvania,1.6206565966927624,0,5,Pennsylvania,-75.38633270000003,39.840613,,,,,,,,,,,,,,,0.0,1.791759469228055,448,1,0,1,0,7,5,8,8
78,2014-07-04,1722 Thurgood Street Norfolk Virginia,1.6206565966927624,0,5,Virginia,-76.26257620000001,36.826021,,,,,,,,,,,,,,,0.0,1.791759469228055,634,0,3,0,3,6,7,5,12
