ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,case,summary,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,mental_health_sources,sources_additional_age,type,log_n_killed,log_n_injured,indegree,outdegree
43,27,2014-03-16,S 4th St Beaumont Texas,1.178350206951907,3,1,Beaumont,Texas,-94.11556429999999,30.058844300000004,,,,,,,,,,,,,,,1.3862943611198906,0.6931471805599453,2,11
44,28,2014-03-21,7550 Dorchester Road North Charleston South Carolina,0.4828313737302301,0,4,North Charleston,South Carolina,-80.0787343,32.9035946,,,,,,,,,,,,,,,0.0,1.6094379124341005,7,0
45,29,2014-03-23,601 Long Beach Boulevard Long Beach California,0.9010913347279288,1,3,Long Beach,California,-118.1897511,33.7743901,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,3,7
46,29,2014-03-23,Turk and Taylor San Francisco California,0.6238324625039507,0,7,San Francisco,California,-122.4107884,37.7832352,,,,,,,,,,,,,,,0.0,2.079441541679836,4,7
47,29,2014-03-23,2700 Majesty Drive Arlington Texas,0.9010913347279288,1,3,Arlington,Texas,-97.0613775,32.754806800000004,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,3,7
48,30,2014-03-30,,0.5375278407684164,0,5,Starkville,Mississippi,-84.389488,33.791638,,,,,,,,,,,,,,,0.0,1.791759469228055,8,5
49,30,2014-03-30,4300 Sunset Road Charlotte North Carolina,0.5375278407684164,0,5,Charlotte,North Carolina,-80.8562731,35.3049935,,,,,,,,,,,,,,,0.0,1.791759469228055,8,5
50,31,2014-04-02,Motor Pool Road and Tank Destroyer Boulevard Fort Hood Texas,1.9765705419207351,4,16,Fort Hood,Texas,-97.79444690000001,31.1329784,,,,,,,,,,,,,,,1.6094379124341005,2.8332133440562166,0,10
51,32,2014-04-05,Orchid Street  Fairfield California,0.4828313737302301,0,4,Fairfield,California,-122.036953,38.278664,,,,,,,,,,,,,,,0.0,1.6094379124341005,7,0
52,32,2014-04-05,5400 block of W Palm Ln Phoenix Arizona,0.9010913347279288,1,3,Phoenix,Arizona,-112.17568670000001,33.469846399999994,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,2,6
53,32,2014-04-05,4300 W Wilcox Street Chicago Illinois,1.0227308671603779,1,5,Chicago,Illinois,-87.733109,41.879032,,,,,,,,,,,,,,,0.6931471805599453,1.791759469228055,2,7
54,33,2014-04-06,Northwest 29th Street and Portland Avenue Oklahoma City Oklahoma,0.4828313737302301,0,4,Oklahoma City,Oklahoma,-97.58336700000001,35.4987478,,,,,,,,,,,,,,,0.0,1.6094379124341005,9,0
55,33,2014-04-06,90 Worthington St. Springfield Massachusetts,0.4828313737302301,0,4,Springfield,Massachusetts,-72.5937223,42.10316410000001,,,,,,,,,,,,,,,0.0,1.6094379124341005,9,0
56,34,2014-04-07,500 block of South Alexander Street New Orleans Louisiana,0.4828313737302301,0,4,New Orleans,Louisiana,-90.1071864,29.973227299999998,,,,,,,,,,,,,,,0.0,1.6094379124341005,8,0
57,35,2014-04-09,Kellys Ferry Road and Kellys Ferry Place Lookout Valley Tennessee,1.178350206951907,3,1,Lookout Valley,Tennessee,-85.3877316,35.0246925,,,,,,,,,,,,,,,1.3862943611198906,0.6931471805599453,1,7
58,35,2014-04-09,300 N Sunset Ave Rockford Illinois,0.5375278407684164,0,5,Rockford,Illinois,-89.1183927,42.2787689,,,,,,,,,,,,,,,0.0,1.791759469228055,6,2
59,36,2014-04-11,North 15th and H Streets Richmond Indiana,0.4828313737302301,0,4,Richmond,Indiana,-84.88160599999998,39.838645,,,,,,,,,,,,,,,0.0,1.6094379124341005,7,0
60,37,2014-04-12,2100 block of Pauger Street New Orleans Louisiana,0.9010913347279288,1,3,New Orleans,Louisiana,-90.0607641,29.971501899999996,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,3,4
61,38,2014-04-14,1909 19th St SE Washington District of Columbia,0.4828313737302301,0,4,Washington,District of Columbia,-76.9773537,38.868239100000004,,,,,,,,,,,,,,,0.0,1.6094379124341005,5,0
62,39,2014-04-20,6600 South Michigan Ave Chicago Illinois,0.5375278407684164,0,5,Chicago,Illinois,-87.62309909999998,41.774825,,,,,,,,,,,,,,,0.0,1.791759469228055,2,1
