ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured
46,29,2014-03-23,Turk and Taylor San Francisco California,0.6238324625039507,0,7,San Francisco,California,-122.4107884,37.7832352,0.0,2.0794415416798357
47,29,2014-03-23,2700 Majesty Drive Arlington Texas,0.9010913347279288,1,3,Arlington,Texas,-97.0613775,32.754806800000004,0.6931471805599453,1.3862943611198906
48,30,2014-03-30,,0.5375278407684164,0,5,Starkville,Mississippi,-84.389488,33.791638,0.0,1.791759469228055
49,30,2014-03-30,4300 Sunset Road Charlotte North Carolina,0.5375278407684164,0,5,Charlotte,North Carolina,-80.8562731,35.3049935,0.0,1.791759469228055
50,31,2014-04-02,Motor Pool Road and Tank Destroyer Boulevard Fort Hood Texas,1.9765705419207351,4,16,Fort Hood,Texas,-97.7944469,31.1329784,1.6094379124341003,2.833213344056216
51,32,2014-04-05,Orchid Street  Fairfield California,0.48283137373023005,0,4,Fairfield,California,-122.036953,38.278664,0.0,1.6094379124341003
52,32,2014-04-05,5400 block of W Palm Ln Phoenix Arizona,0.9010913347279288,1,3,Phoenix,Arizona,-112.1756867,33.469846399999994,0.6931471805599453,1.3862943611198906
53,32,2014-04-05,4300 W Wilcox Street Chicago Illinois,1.022730867160378,1,5,Chicago,Illinois,-87.733109,41.879032,0.6931471805599453,1.791759469228055
54,33,2014-04-06,Northwest 29th Street and Portland Avenue Oklahoma City Oklahoma,0.48283137373023005,0,4,Oklahoma City,Oklahoma,-97.583367,35.4987478,0.0,1.6094379124341003
55,33,2014-04-06,90 Worthington St. Springfield Massachusetts,0.48283137373023005,0,4,Springfield,Massachusetts,-72.5937223,42.10316410000001,0.0,1.6094379124341003
56,34,2014-04-07,500 block of South Alexander Street New Orleans Louisiana,0.48283137373023005,0,4,New Orleans,Louisiana,-90.1071864,29.9732273,0.0,1.6094379124341003
57,35,2014-04-09,Kellys Ferry Road and Kellys Ferry Place Lookout Valley Tennessee,1.178350206951907,3,1,Lookout Valley,Tennessee,-85.3877316,35.0246925,1.3862943611198906,0.6931471805599453
58,35,2014-04-09,300 N Sunset Ave Rockford Illinois,0.5375278407684164,0,5,Rockford,Illinois,-89.1183927,42.2787689,0.0,1.791759469228055
59,36,2014-04-11,North 15th and H Streets Richmond Indiana,0.48283137373023005,0,4,Richmond,Indiana,-84.88160599999998,39.838645,0.0,1.6094379124341003
60,37,2014-04-12,2100 block of Pauger Street New Orleans Louisiana,0.9010913347279288,1,3,New Orleans,Louisiana,-90.0607641,29.9715019,0.6931471805599453,1.3862943611198906
61,38,2014-04-14,1909 19th St SE Washington District of Columbia,0.48283137373023005,0,4,Washington,District of Columbia,-76.9773537,38.8682391,0.0,1.6094379124341003
62,39,2014-04-20,6600 South Michigan Ave Chicago Illinois,0.5375278407684164,0,5,Chicago,Illinois,-87.62309909999998,41.774825,0.0,1.791759469228055
63,39,2014-04-20,2902 N. 32nd St. Tampa Florida,1.0986122886681096,2,2,Tampa,Florida,-82.4252178,27.9693738,1.0986122886681098,1.0986122886681098
64,39,2014-04-20,1300 block of Jackson St Montgomery Illinois,0.583773044716594,0,6,Montgomery,Illinois,-88.31043170000002,41.7302378,0.0,1.9459101490553132
65,40,2014-04-22,6419 Brynhurst Avenue Los Angeles California,0.9010913347279288,1,3,Los Angeles,California,-118.3342778,33.981092700000005,0.6931471805599453,1.3862943611198906
